,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__hidden_layer_sizes,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0,176.20302486419678,0.06664490699768066,180.1234005689621,1.827412486076355,"(100, 100)","{'clf__hidden_layer_sizes': (100, 100)}",0.6945975744211687,0.7596241285237951,0.7271108514724819,0.03251327705131324,4,0.7711103126122888,0.8118380062305297,0.7914741594214092,0.020363846809120456
1,159.21786189079285,2.0347900390625,161.46896958351135,4.27942967414856,"(100,)","{'clf__hidden_layer_sizes': (100,)}",0.7445887445887447,0.7417527490836388,0.7431707468361917,0.0014179977525529686,1,0.8338870431893688,0.8034934497816593,0.818690246485514,0.015196796703854765
2,171.30688858032227,3.24198842048645,167.42785680294037,6.134535908699036,"(100, 50)","{'clf__hidden_layer_sizes': (100, 50)}",0.7160927617709064,0.7414921465968587,0.7287924541838826,0.012699692412976138,3,0.7860593512767426,0.7957489206243773,0.79090413595056,0.004844784673817326
3,172.98475563526154,15.519421458244324,160.83167493343353,0.003956913948059082,"(50, 50)","{'clf__hidden_layer_sizes': (50, 50)}",0.7558465855940131,0.7204450625869263,0.7381458240904697,0.017700761503543383,2,0.8278228321896444,0.79750346740638,0.8126631497980121,0.015159682391632179
