,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprop__lemmatize,param_preprop__lowercase,param_preprop__remove_stopwords,param_preprop__remove_accents,param_preprop__normalize_contractions,param_preprop__normalize_URL,param_preprop__normalize_emoji,param_preprop__normalize_html,param_preprop__normalize_punctuation,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,1.5210203329722087,0.07877865654029818,0.7337813377380371,0.07028790143919347,True,,,,,,,,,{'preprop__lemmatize': True},0.6513527309851965,0.6423220973782771,0.7090487238979118,0.6675745174204618,0.029557519494890237,18,0.8745712885840276,0.8835717809570793,0.8839590443686006,0.8807007046365691,0.0043370342475276755
1,0.10712973276774089,0.004077211693392818,0.0415342648824056,0.0022146421173410546,False,,,,,,,,,{'preprop__lemmatize': False},0.6639635073492144,0.6456173421300659,0.7294117647058823,0.6796642047283875,0.035965355898400365,3,0.8832437713727407,0.8892691273527255,0.8880796309783928,0.8868641765679529,0.0026056637976118856
2,0.10992646217346191,0.003275412228194862,0.04402764638264974,0.00020088764588608034,,True,,,,,,,,{'preprop__lowercase': True},0.6639635073492144,0.6456173421300659,0.7294117647058823,0.6796642047283875,0.035965355898400365,3,0.8832437713727407,0.8892691273527255,0.8880796309783928,0.8868641765679529,0.0026056637976118856
3,0.11141506830851237,0.005880292351493425,0.042565345764160156,0.0028906586884156213,,False,,,,,,,,{'preprop__lowercase': False},0.6639635073492144,0.6456173421300659,0.7294117647058823,0.6796642047283875,0.035965355898400365,3,0.8832437713727407,0.8892691273527255,0.8880796309783928,0.8868641765679529,0.0026056637976118856
4,1.4657175540924072,0.10398043425846802,0.7209269205729166,0.029279114648542114,,,True,,,,,,,{'preprop__remove_stopwords': True},0.6637889688249401,0.6326809285389168,0.7183462532299741,0.671605383531277,0.03540677164754553,17,0.9038737446197991,0.9077437858508604,0.9093477748999292,0.9069884351235297,0.0022977043496941085
5,0.10681668917338054,0.006529159488774137,0.041420539220174156,0.0006532147348799265,,,False,,,,,,,{'preprop__remove_stopwords': False},0.6639635073492144,0.6456173421300659,0.7294117647058823,0.6796642047283875,0.035965355898400365,3,0.8832437713727407,0.8892691273527255,0.8880796309783928,0.8868641765679529,0.0026056637976118856
6,0.13420232137044272,0.005368335432044612,0.055808464686075844,0.0018096736001880424,,,,True,,,,,,{'preprop__remove_accents': True},0.6629441624365482,0.6459802538787024,0.7302452316076296,0.6797232159742933,0.03638955066252799,2,0.8842208109428432,0.8900318393338231,0.8881339480708567,0.8874621994491744,0.0024194279486747443
7,0.13655877113342285,0.017424983005496605,0.05297772089640299,0.007518321963881409,,,,False,,,,,,{'preprop__remove_accents': False},0.6639635073492144,0.6456173421300659,0.7294117647058823,0.6796642047283875,0.035965355898400365,3,0.8832437713727407,0.8892691273527255,0.8880796309783928,0.8868641765679529,0.0026056637976118856
8,0.14328861236572266,0.015360368005070024,0.06593871116638184,0.016382645879837808,,,,,True,,,,,{'preprop__normalize_contractions': True},0.6598569969356486,0.6470866887730933,0.7315741583257507,0.6795059480114976,0.03718506946467118,15,0.8825831702544031,0.887144259077527,0.8861313868613139,0.8852862720644147,0.0019555983019798823
9,0.09962423642476399,0.004045607467140556,0.03876781463623047,0.0014087423043742785,,,,,False,,,,,{'preprop__normalize_contractions': False},0.6639635073492144,0.6456173421300659,0.7294117647058823,0.6796642047283875,0.035965355898400365,3,0.8832437713727407,0.8892691273527255,0.8880796309783928,0.8868641765679529,0.0026056637976118856
10,0.10380832354227702,0.001561545671579854,0.04255906740824381,0.002384494128422324,,,,,,True,,,,{'preprop__normalize_URL': True},0.6733466933867736,0.6533457249070632,0.7333034513671001,0.686665289886979,0.033973992648455686,1,0.8802322767965159,0.8845029239766082,0.8779898526214062,0.8809083511315102,0.0027015837329631663
11,0.10837157567342122,0.013989911323695398,0.04116185506184896,0.0043967373630484675,,,,,,False,,,,{'preprop__normalize_URL': False},0.6639635073492144,0.6456173421300659,0.7294117647058823,0.6796642047283875,0.035965355898400365,3,0.8832437713727407,0.8892691273527255,0.8880796309783928,0.8868641765679529,0.0026056637976118856
12,0.11364531517028809,0.001681920617564332,0.047675768534342446,0.0004559913627657975,,,,,,,True,,,{'preprop__normalize_emoji': True},0.6639635073492144,0.6456173421300659,0.7294117647058823,0.6796642047283875,0.035965355898400365,3,0.8832437713727407,0.8892691273527255,0.8880796309783928,0.8868641765679529,0.0026056637976118856
13,0.09554775555928548,0.0014413318604079863,0.038178205490112305,0.0008133789045048222,,,,,,,False,,,{'preprop__normalize_emoji': False},0.6639635073492144,0.6456173421300659,0.7294117647058823,0.6796642047283875,0.035965355898400365,3,0.8832437713727407,0.8892691273527255,0.8880796309783928,0.8868641765679529,0.0026056637976118856
14,0.10077269872029622,0.0017586151467026427,0.039618333180745445,0.0010695380099436267,,,,,,,,True,,{'preprop__normalize_html': True},0.6639635073492144,0.6456173421300659,0.7294117647058823,0.6796642047283875,0.035965355898400365,3,0.8832437713727407,0.8892691273527255,0.8880796309783928,0.8868641765679529,0.0026056637976118856
15,0.09695760409037273,0.002377944090182574,0.038435141245524086,0.0016358236805198286,,,,,,,,False,,{'preprop__normalize_html': False},0.6639635073492144,0.6456173421300659,0.7294117647058823,0.6796642047283875,0.035965355898400365,3,0.8832437713727407,0.8892691273527255,0.8880796309783928,0.8868641765679529,0.0026056637976118856
